GEOID,2024 Total Population
210039204.0,4619
210039205.0,1432
210039206.0,3436
210350101.0,4323
210350102.0,4499
210350103.01,2328
210350103.03,3096
210350103.04,3897
210350104.0,2534
210350105.0,3075
210350106.01,3136
210350106.02,4057
210350107.0,3294
210350108.0,3278
210472013.01,3264
210472013.03,4154
210472013.04,3783
210472014.0,3081
210472015.01,5230
210472015.02,3759
210472015.03,4663
210479801.0,0
210539702.02,3251
210539702.03,1484
210539702.04,1519
210579502.0,2088
210759601.0,3437
210830202.0,4327
210830203.01,4638
210830204.0,2711
210830205.0,3704
210830209.0,2973
211059701.0,4417
211419606.0,2789
211719302.0,2197
211719303.0,2833
211719304.0,4337
212139701.0,2465
212139704.01,5036
212139704.02,2602
212199503.0,2427
212199504.0,1491
212219703.02,2033
212219801.0,1
212219802.0,2
212319204.02,1529
212319207.01,999
470039501.0,4366
470039502.01,3497
470039502.02,4124
470039503.0,4084
470039504.01,6821
470039504.02,8757
470039505.0,6843
470039506.0,8195
470039507.0,3204
470039508.0,3079
470059630.0,3226
470059631.0,2912
470059632.0,2138
470059633.0,3707
470059634.0,3809
470079530.0,3928
470079531.01,1755
470079531.02,3873
470079532.0,5270
470110107.0,5253
470110110.0,6110
470110113.01,5303
470110113.02,2584
470110114.02,3198
470110114.03,4603
470110114.04,4781
470110115.01,5714
470110115.02,3954
470159601.0,4283
470159602.01,2422
470159602.02,4778
470159603.0,3475
470179620.0,4236
470179621.01,3316
470179621.02,3835
470179622.01,3173
470179622.02,4546
470179623.0,4472
470179624.0,2617
470179625.0,2142
470179801.0,0
470210701.02,4119
470210701.03,3450
470210701.04,6451
470210702.01,5396
470210702.02,5820
470210702.03,3877
470210703.0,3881
470210704.01,2561
470210704.02,6903
470239701.01,2829
470239701.02,3542
470239702.0,5584
470239703.01,1665
470239703.02,3991
470279550.0,4847
470279551.0,2678
470319701.0,4067
470319702.01,3640
470319702.02,4360
470319703.0,2054
470319704.01,1961
470319704.02,5607
470319705.01,1268
470319705.02,5915
470319706.0,4521
470319707.0,4817
470319708.01,4352
470319708.03,3080
470319708.04,3982
470319709.0,4592
470319710.01,1280
470319710.02,5260
470319801.0,2
470339610.0,2166
470359701.01,4932
470359701.03,3286
470359701.04,3536
470359702.01,4525
470359702.02,2149
470359703.01,3599
470359703.02,4916
470359704.01,4757
470359704.02,2328
470359705.01,2753
470359705.02,4323
470359706.01,5439
470359706.02,3992
470359706.03,2177
470359707.01,2560
470359707.02,5117
470359708.0,4091
470370101.03,2698
470370101.04,3214
470370101.05,4720
470370101.06,3778
470370102.01,4357
470370102.02,4149
470370103.01,4373
470370103.02,1955
470370103.03,6054
470370104.01,5365
470370104.03,3748
470370104.04,2423
470370105.01,6274
470370105.02,5431
470370106.01,5485
470370106.02,3663
470370107.01,4567
470370107.02,3449
470370108.01,6211
470370108.02,3466
470370109.01,3341
470370109.03,6697
470370109.04,3006
470370110.01,7006
470370110.02,2690
470370111.0,4097
470370112.0,4588
470370113.0,5953
470370114.0,5459
470370115.0,3857
470370116.0,5605
470370117.0,6156
470370118.0,2814
470370119.0,3116
470370121.0,2677
470370122.0,2224
470370126.0,1940
470370127.01,6329
470370127.02,3450
470370128.01,5073
470370128.02,4247
470370130.01,1092
470370130.02,1312
470370131.0,2422
470370132.01,3204
470370132.02,3909
470370133.0,6383
470370134.0,4528
470370135.0,2428
470370136.0,6740
470370137.01,3860
470370137.02,4982
470370138.0,1448
470370139.0,1768
470370142.0,2813
470370143.0,1879
470370144.0,3362
470370148.0,1494
470370151.0,4446
470370152.0,2651
470370153.0,6659
470370154.01,5466
470370154.02,5342
470370154.04,3146
470370154.05,4752
470370155.01,3657
470370155.02,4257
470370156.09,6755
470370156.13,5362
470370156.14,4551
470370156.15,5235
470370156.17,2495
470370156.18,6813
470370156.19,5654
470370156.2,8227
470370156.22,4344
470370156.23,6043
470370156.24,4842
470370156.25,5800
470370156.26,7204
470370156.27,3841
470370156.28,4225
470370156.29,6412
470370156.3,6332
470370156.32,4201
470370156.33,5404
470370156.34,15677
470370156.35,2654
470370156.36,3609
470370156.37,4477
470370157.0,1674
470370158.04,4418
470370158.05,3706
470370158.06,5981
470370159.0,3191
470370160.0,2415
470370161.0,3243
470370162.0,3836
470370163.0,3174
470370164.0,5053
470370165.0,4607
470370166.0,3607
470370167.0,5663
470370168.0,4654
470370169.0,4864
470370170.0,4512
470370171.0,4254
470370172.0,2655
470370173.0,3365
470370174.01,2379
470370174.02,6190
470370175.0,2857
470370177.01,2549
470370177.02,5072
470370178.0,6066
470370179.01,5762
470370179.02,4910
470370180.0,5197
470370181.01,5322
470370181.02,3462
470370182.01,3174
470370182.03,1493
470370182.04,3982
470370182.05,3456
470370183.02,3265
470370183.03,6232
470370183.04,4443
470370184.04,5327
470370184.05,5042
470370184.07,5180
470370184.08,3662
470370184.09,4303
470370184.1,3638
470370184.11,3576
470370184.12,4535
470370185.0,5314
470370186.01,2407
470370186.02,4498
470370187.0,3816
470370188.01,5907
470370188.03,4079
470370188.04,5263
470370189.01,3453
470370189.02,2600
470370189.04,4057
470370189.05,3597
470370190.03,4521
470370190.04,5139
470370190.07,2667
470370190.08,6341
470370191.05,7127
470370191.06,4280
470370191.08,3796
470370191.09,5661
470370191.1,3867
470370191.11,4594
470370191.12,7814
470370191.15,3887
470370191.16,7694
470370191.17,7596
470370191.18,5823
470370191.19,10179
470370191.2,3109
470370191.21,4711
470370192.0,3614
470370193.0,3731
470370194.01,4667
470370194.02,4456
470370195.01,4133
470370195.02,5424
470370195.03,6291
470370196.0,3819
470379801.0,5
470379802.0,2
470399550.01,1833
470399550.03,2635
470399550.04,1991
470399551.01,1748
470399551.02,3213
470419201.01,2567
470419201.02,4727
470419202.01,5671
470419202.02,2305
470419203.0,5834
470430601.0,4604
470430602.01,4021
470430602.02,3646
470430603.0,7257
470430604.01,3433
470430604.02,7426
470430605.01,6686
470430605.02,3528
470430606.01,4217
470430606.02,7266
470430607.0,4858
470499650.0,3664
470499651.0,4268
470499652.01,2498
470499652.02,3245
470499653.0,5605
470519601.0,3662
470519602.01,6756
470519602.02,5689
