GEOID,2024 Senior Population
470650104.13,950
470650104.31,1864
470650104.32,2245
470650104.33,995
470650104.34,590
470650104.35,1266
470650105.01,1097
470650105.02,561
470650106.0,620
470650107.0,405
470650108.0,542
470650109.02,203
470650109.04,691
470650109.05,1083
470650110.01,524
470650110.03,823
470650110.04,793
470650111.0,1711
470650112.05,1825
470650112.06,955
470650114.02,1126
470650114.11,872
470650114.13,1821
470650114.47,1335
470650121.0,1544
470659802.0,0
470699501.0,799
470699504.0,1075
470699505.0,980
470719201.0,1032
470719202.0,1266
470719203.0,1018
470719204.01,591
470719204.02,590
470719205.01,876
470719205.02,405
470719206.0,1105
470779750.0,608
470779751.0,727
470779752.0,1130
470779753.01,599
470779753.02,827
470779754.0,959
470779755.0,864
470799690.01,935
470799690.02,658
470799691.0,718
470799692.0,353
470799693.0,580
470799694.0,357
470799695.01,484
470799695.02,1146
470799696.01,756
470799696.02,1080
470799697.0,648
470799698.0,535
470819501.0,1072
470819502.01,668
470819502.02,590
470819503.01,726
470819503.02,1108
470819504.0,493
470819505.0,330
470831201.0,629
470831202.0,536
470831203.0,730
470851301.0,1201
470851302.0,564
470851303.0,1219
470851304.0,631
470851305.0,562
470879601.0,555
470879602.0,609
470879603.0,1294
470879604.0,522
470999601.0,858
470999602.0,602
470999603.0,922
470999604.01,1374
470999604.02,920
470999605.01,838
470999605.02,893
470999606.0,456
470999607.0,879
470999608.0,777
470999609.0,393
471019701.0,1255
471019702.0,1710
471039750.0,419
471039751.0,529
471039752.0,470
471039753.0,1541
471039754.0,1119
471039755.0,1127
471039757.0,787
471099301.0,1023
471099302.0,453
471099303.0,612
471099304.0,457
471099305.01,591
471099305.02,1221
471099306.0,844
471099307.0,787
471119701.0,1093
471119702.0,1125
471119703.01,905
471119703.02,761
471119704.0,805
471130001.0,729
471130002.0,1116
471130003.0,846
471130004.0,508
471130005.0,378
471130006.0,303
471130007.0,314
471130008.0,247
471130009.0,415
471130010.0,342
471130011.0,133
471130013.0,1202
471130014.01,387
471130014.02,560
471130015.01,748
471130015.02,1369
471130016.03,600
471130016.04,931
471130016.05,315
471130016.07,1072
471130016.08,596
471130016.09,509
471130016.1,1463
471130016.11,582
471130016.12,1493
471130017.0,379
471130018.0,756
471130019.0,919
471150501.01,855
471150501.02,1194
471150502.01,1073
471150502.03,506
471150502.04,1000
471150503.02,838
471179550.0,1459
471179551.0,1166
471179552.0,1346
471179553.0,611
471179554.0,1017
471179555.0,994
471190101.0,802
471190102.01,2317
471190102.03,1856
471190102.04,1225
471190102.05,452
471190103.01,1790
471190103.02,671
471190104.01,806
471190104.02,652
471190105.0,859
471190106.0,817
471190107.0,819
471190108.01,1013
471190108.02,1329
471190109.0,695
471190110.01,649
471190110.03,466
471190110.04,797
471190111.01,1469
471190111.02,703
