GEOID,2024-2029 Growth Rate: Population
470370182.04,-0.0045000000000000005
470370182.05,0.001
470370183.02,0.0096
470370183.03,-0.0040999999999999995
470370183.04,-0.0052
470370184.04,0.0015
470370184.05,-0.0049
470370184.07,-0.0059
470370184.08,0.0011
470370184.09,-0.0051
470370184.1,0.0044
470370184.11,0.021
470370184.12,-0.0004
470370185.0,-0.0066
470370186.01,-0.0049
470370186.02,-0.0039000000000000003
470370187.0,-0.0039000000000000003
470370188.01,-0.005600000000000001
470370188.03,0.0085
470370188.04,0.0060999999999999995
470370189.01,-0.004
470370189.02,0.0001
470370189.04,-0.0005
470370189.05,0.0060999999999999995
470370190.03,-0.001
470370190.04,0.006500000000000001
470370190.07,-0.0008
470370190.08,0.0003
470370191.05,0.016
470370191.06,-0.0008
470370191.08,-0.0052
470370191.09,-0.0045000000000000005
470370191.1,-0.001
470370191.11,-0.0027
470370191.12,0.0172
470370191.15,-0.0060999999999999995
470370191.16,0.0115
470370191.17,0.1067
470370191.18,-0.0014000000000000002
470370191.19,0.0125
470370191.2,0.0104
470370191.21,0.0028000000000000004
470370192.0,-0.002
470370193.0,0.0709
470370194.01,0.0338
470370194.02,0.08
470370195.01,0.0917
470370195.02,0.1507
470370195.03,0.07139999999999999
470370196.0,-0.0008
470379801.0,0.0
470379802.0,0.0
470399550.01,-0.0021
470399550.03,0.0017000000000000001
470399550.04,-0.005
470399551.01,-0.0042
470399551.02,0.002
470419201.01,0.0044
470419201.02,0.0034000000000000002
470419202.01,0.0125
470419202.02,0.0075
470419203.0,0.0053
470430601.0,0.013999999999999999
470430602.01,0.010700000000000001
470430602.02,0.0045000000000000005
470430603.0,0.0043
470430604.01,0.0069
470430604.02,0.0055000000000000005
470430605.01,0.0037
470430605.02,0.0076
470430606.01,0.0079
470430606.02,0.0143
470430607.0,0.0055000000000000005
470499650.0,0.0095
470499651.0,-0.0024
470499652.01,0.0083
470499652.02,0.0026
470499653.0,0.011200000000000002
470519601.0,0.0038
470519602.01,0.0123
470519602.02,0.0031
470519603.0,0.0073
470519604.01,0.0031
470519604.02,0.0161
470519605.0,0.0025
470519606.0,0.0026
470519607.0,0.0
470519608.0,0.0012
470539662.0,-0.0040999999999999995
470539663.0,-0.003
470539664.0,0.002
470539665.01,-0.0021
470539665.02,0.0009
470539666.0,0.010700000000000001
470539667.01,-0.0013
470539667.02,-0.0025
470539669.0,-0.0005
470539670.01,0.0038
470539670.02,0.0115
470539671.0,-0.0008
470539674.0,-0.0017000000000000001
470539801.0,0.0
470559201.0,0.0033
470559202.0,0.0034000000000000002
470559203.01,0.0003
470559203.02,-0.0014000000000000002
470559204.0,0.0031
470559205.0,0.0028000000000000004
470559206.0,0.0033
470559207.0,-0.0015
470559208.0,0.0017000000000000001
470619550.0,-0.0069
470619551.0,0.0062
470619552.0,0.0078000000000000005
470619553.0,0.0005
470650101.01,0.0016
470650101.03,0.0066
470650101.04,0.0006
470650102.01,0.0045000000000000005
470650102.02,0.0095
470650103.03,0.0063
470650103.04,-0.0026
470650103.05,0.0003
470650103.06,0.0044
470650103.08,0.0038
470650103.09,-0.0027
470650104.11,0.0103
470650104.12,0.0002
470650104.13,-0.003
470650104.31,0.0063
470650104.32,0.0129
470650104.33,-0.002
470650104.34,-0.0031
470650104.35,0.0055000000000000005
470650105.01,0.001
470650105.02,0.0008
470650106.0,0.0088
470650107.0,-0.0024
470650108.0,-0.0024
470650109.02,0.0004
470650109.04,-0.0012
470650109.05,0.011899999999999999
470650110.01,0.013999999999999999
470650110.03,0.01
470650110.04,0.0032
470650111.0,-0.0027
470650112.05,0.0062
470650112.06,0.0126
470650114.02,-0.0009
470650114.11,0.003
470650114.13,0.006
470650114.47,0.0014000000000000002
470650121.0,0.0059
470659802.0,0.0
470699501.0,-0.0068000000000000005
470699504.0,-0.002
470699505.0,0.0013
470719201.0,0.0060999999999999995
470719202.0,0.0009
470719203.0,-0.0011
470719204.01,0.0043
470719204.02,-0.0028000000000000004
470719205.01,-0.0051
470719205.02,0.0007000000000000001
470719206.0,-0.0007000000000000001
470779750.0,-0.0031
470779751.0,-0.0054
470779752.0,-0.0002
470779753.01,-0.0003
470779753.02,0.0009
470779754.0,-0.0025
470779755.0,0.0026
470799690.01,0.0026
470799690.02,-0.0017000000000000001
470799691.0,0.001
470799692.0,-0.0008
470799693.0,0.0023
470799694.0,-0.0029
470799695.01,-0.0005
470799695.02,-0.0007000000000000001
470799696.01,-0.0016
470799696.02,-0.0017000000000000001
470799697.0,0.0
470799698.0,-0.0022
470819501.0,0.0037
470819502.01,0.0103
470819502.02,0.0023
470819503.01,0.0040999999999999995
470819503.02,0.001
470819504.0,0.0092
470819505.0,-0.0014000000000000002
470831201.0,0.0023
470831202.0,-0.0004
470831203.0,-0.0032
470851301.0,0.006999999999999999
470851302.0,0.0049
470851303.0,-0.002
470851304.0,-0.0003
470851305.0,-0.0054
470879601.0,0.0109
470879602.0,-0.002
470879603.0,0.0015
470879604.0,-0.0004
470999601.0,0.0161
470999602.0,0.0075
470999603.0,0.0055000000000000005
470999604.01,0.0045000000000000005
470999604.02,0.0051
470999605.01,0.0034999999999999996
470999605.02,-0.0003
470999606.0,0.0002
470999607.0,0.0012
470999608.0,0.0067
470999609.0,0.0044
471019701.0,0.011000000000000001
471019702.0,0.0029
471039750.0,0.0031
471039751.0,0.004
471039752.0,0.0073
471039753.0,0.0037
471039754.0,0.0013
471039755.0,0.0086
471039757.0,0.001
471099301.0,0.0060999999999999995
471099302.0,-0.001
471099303.0,-0.0009
471099304.0,-0.0002
471099305.01,-0.0017000000000000001
471099305.02,-0.0021
471099306.0,-0.0011
471099307.0,-0.0012
471119701.0,0.008
471119702.0,0.0105
471119703.01,0.0059
471119703.02,0.0128
471119704.0,0.0128
471130001.0,0.0034999999999999996
471130002.0,-0.0039000000000000003
471130003.0,-0.0018
471130004.0,-0.0036
471130005.0,-0.0040999999999999995
471130006.0,-0.0016
471130007.0,0.0012
471130008.0,0.0006
471130009.0,-0.0045000000000000005
471130010.0,-0.0018
471130011.0,-0.0004
471130013.0,-0.0044
471130014.01,-0.0043
471130014.02,-0.0001
471130015.01,-0.0046
471130015.02,-0.0015
471130016.03,-0.0046
471130016.04,-0.0011
471130016.05,-0.0033
471130016.07,-0.0007000000000000001
471130016.08,-0.0043
471130016.09,0.0045000000000000005
471130016.1,0.0077
471130016.11,0.0204
471130016.12,-0.004
471130017.0,-0.0027
471130018.0,-0.0051
471130019.0,-0.004699999999999999
471150501.01,-0.0043
471150501.02,-0.0006
471150502.01,-0.0040999999999999995
471150502.03,-0.0001
471150502.04,0.0192
471150503.02,0.0069
471179550.0,0.0158
471179551.0,0.0085
471179552.0,0.0137
471179553.0,0.0025
471179554.0,0.0004
471179555.0,0.0147
471190101.0,0.0077
471190102.01,0.0449
471190102.03,0.024900000000000002
471190102.04,0.0158
471190102.05,0.1148
471190103.01,0.0219
471190103.02,0.008100000000000001
471190104.01,0.0197
471190104.02,0.025699999999999997
471190105.0,0.006500000000000001
471190106.0,0.0097
471190107.0,0.0079
471190108.01,0.0091
471190108.02,0.0172
471190109.0,0.0078000000000000005
471190110.01,0.012199999999999999
471190110.03,0.006
471190110.04,0.008
471190111.01,0.008
471190111.02,0.009899999999999999
471190112.0,0.016
471219602.0,0.0079
471219603.0,0.005600000000000001
471251001.0,0.0053
471251002.0,0.0184
471251003.0,0.016200000000000003
471251005.0,0.0128
471251006.01,0.0132
471251006.02,0.013300000000000001
471251008.0,0.0044
471251009.0,0.019
471251010.01,0.0118
471251010.02,0.0321
471251011.01,0.0232
471251011.02,0.0216
471251011.03,0.0137
471251012.01,0.0239
471251012.02,0.0202
471251013.04,0.024300000000000002
471251013.05,0.0134
471251013.06,0.0255
471251013.07,0.018000000000000002
471251013.08,0.016399999999999998
471251013.09,0.0175
471251014.0,0.0116
471251015.01,0.0219
471251015.02,0.0172
471251016.0,0.0208
471251017.01,0.0131
471251017.02,0.0161
471251018.03,0.017
471251018.05,0.005
471251018.06,0.0172
471251018.07,0.0187
471251018.08,0.0197
471251019.02,0.0254
471251019.04,0.024399999999999998
471251019.05,0.0223
471251019.06,0.0089
471251020.01,0.018000000000000002
471251020.03,0.025099999999999997
471251020.04,0.0282
471251020.05,0.016
471251020.07,0.020099999999999996
471251020.08,0.0279
471251020.09,0.020499999999999997
471251020.1,0.0285
471251021.0,0.0167
471259801.0,0.0018
471279301.0,0.0045000000000000005
471279302.0,0.008100000000000001
471291101.0,0.01
471291102.0,0.005
471319650.0,-0.0053
471339501.0,0.008100000000000001
471339502.0,-0.003
471339503.01,-0.0012
471339503.02,0.0017000000000000001
471339504.0,0.0042
471339505.01,0.0072
471339505.02,-0.003
471339506.0,0.011200000000000002
471359301.0,0.0044
471359302.01,0.002
471359302.02,0.009000000000000001
471379251.01,0.0012
471379251.02,-0.0015
471410001.0,0.013500000000000002
471410002.01,0.0067
471410002.02,0.0102
471410003.01,0.009899999999999999
471410003.03,0.0009
471410003.04,0.0086
471410003.05,0.0021
471410004.0,0.0063
471410005.0,0.009300000000000001
471410006.0,0.005699999999999999
471410007.0,0.0025
471410008.0,0.0068000000000000005
471410009.0,0.0125
471410010.0,0.0102
471410011.0,0.0111
471410012.01,0.0104
471410012.02,0.0028000000000000004
471410013.0,0.0003
471439750.0,0.0060999999999999995
471439751.0,0.0045000000000000005
471439752.0,0.0048
471439753.0,0.0033
471439754.01,0.0008
471439754.02,0.003
