GEOID,2024 Senior Population
470559208.00,1283
470619550.00,986
470619551.00,690
470619552.00,1575
470619553.00,1842
470650101.01,2465
470650101.03,1509
470650101.04,1603
470650102.01,1585
470650102.02,1941
470650103.03,1031
470650103.04,1715
470650103.05,1269
470650103.06,1281
470650103.08,1231
470650103.09,1047
470650104.11,2673
470650104.12,1699
470650104.13,1501
470650104.31,2873
470650104.32,3250
470650104.33,1579
470650104.34,985
470650104.35,2032
470650105.01,1819
470650105.02,902
470650106.00,1015
470650107.00,692
470650108.00,933
470650109.02,336
470650109.04,864
470650109.05,1518
470650110.01,885
470650110.03,1333
470650110.04,1343
470650111.00,2454
470650112.05,2998
470650112.06,1535
470650114.02,1879
470650114.11,1487
470650114.13,2980
470650114.47,2427
470650121.00,2482
470659802.00,0
470699501.00,1354
470699504.00,1843
470699505.00,1601
470719201.00,1693
470719202.00,2031
470719203.00,1514
470719204.01,825
470719204.02,972
470719205.01,1456
470719205.02,688
470719206.00,1693
470779750.00,1035
470779751.00,1250
470779752.00,1901
470779753.01,1079
470779753.02,1324
470779754.00,1592
470779755.00,1401
470799690.01,1428
470799690.02,967
470799691.00,1178
470799692.00,590
470799693.00,975
470799694.00,625
470799695.01,734
470799695.02,1611
470799696.01,1224
470799696.02,1783
470799697.00,1057
470799698.00,895
470819501.00,1911
470819502.01,1243
470819502.02,1125
470819503.01,1148
470819503.02,1781
470819504.00,814
470819505.00,730
470831201.00,1104
470831202.00,843
470831203.00,1156
470851301.00,1996
470851302.00,888
470851303.00,1964
470851304.00,1076
470851305.00,938
470879601.00,927
470879602.00,982
470879603.00,2105
470879604.00,791
470999601.00,1527
470999602.00,992
470999603.00,1584
470999604.01,2163
470999604.02,1520
470999605.01,1385
470999605.02,1535
470999606.00,764
470999607.00,1429
470999608.00,1314
470999609.00,721
471019701.00,2052
471019702.00,2717
471039750.00,712
471039751.00,918
471039752.00,780
471039753.00,2434
471039754.00,1728
471039755.00,1958
471039757.00,1324
471099301.00,1656
471099302.00,738
471099303.00,997
471099304.00,771
471099305.01,958
471099305.02,1931
471099306.00,1359
471099307.00,1257
471119701.00,1872
471119702.00,2033
471119703.01,1459
471119703.02,1360
471119704.00,1513
471130001.00,1238
471130002.00,1775
471130003.00,1376
471130004.00,877
471130005.00,714
471130006.00,533
471130007.00,665
471130008.00,484
471130009.00,659
471130010.00,579
471130011.00,225
471130013.00,2032
471130014.01,641
471130014.02,892
471130015.01,1370
471130015.02,2310
471130016.03,898
471130016.04,1286
471130016.05,547
471130016.07,1860
471130016.08,973
471130016.09,759
471130016.10,2483
471130016.11,983
471130016.12,2370
471130017.00,616
471130018.00,1262
471130019.00,1553
471150501.01,1396
471150501.02,2041
471150502.01,1766
471150502.03,882
471150502.04,1587
471150503.02,1338
471179550.00,2699
471179551.00,2059
471179552.00,2317
471179553.00,1111
471179554.00,1503
471179555.00,1729
471190101.00,1341
471190102.01,3835
471190102.03,2702
471190102.04,2151
471190102.05,813
471190103.01,2938
471190103.02,1171
471190104.01,1345
471190104.02,1086
471190105.00,1524
471190106.00,1411
471190107.00,1353
471190108.01,1479
471190108.02,2265
471190109.00,1206
471190110.01,1098
471190110.03,854
471190110.04,1320
471190111.01,2151
471190111.02,1100
471190112.00,2378
471219602.00,1918
471219603.00,1664
471251001.00,237
471251002.00,495
471251003.00,1430
471251005.00,1471
471251006.01,991
471251006.02,1091
471251008.00,516
471251009.00,645
471251010.01,1086
471251010.02,1043
471251011.01,684
471251011.02,1888
471251011.03,735
471251012.01,496
471251012.02,1015
471251013.04,1150
471251013.05,807
471251013.06,932
471251013.07,662
471251013.08,491
471251013.09,1022
471251014.00,106
471251015.01,1092
471251015.02,1428
471251016.00,1866
471251017.01,1276
471251017.02,1895
471251018.03,2707
471251018.05,1234
471251018.06,2461
471251018.07,1050
471251018.08,1540
471251019.02,1020
471251019.04,1413
471251019.05,1448
471251019.06,1331
471251020.01,1446
471251020.03,917
471251020.04,1128
471251020.05,1171
471251020.07,418
471251020.08,1135
471251020.09,893
471251020.10,889
471251021.00,1354
471259801.00,2
471279301.00,1533
471279302.00,1050
471291101.00,1314
471291102.00,1431
471319650.00,1570
471339501.00,702
471339502.00,674
471339503.01,1664
471339503.02,1159
471339504.00,765
471339505.01,1629
471339505.02,816
471339506.00,1099
471359301.00,1265
471359302.01,1050
471359302.02,999
471379251.01,1523
471379251.02,810
471410001.00,2306
471410002.01,1906
471410002.02,1795
471410003.01,1069
471410003.03,692
471410003.04,600
471410003.05,574
471410004.00,1466
471410005.00,711
471410006.00,1579
471410007.00,920
471410008.00,667
471410009.00,2192
471410010.00,1425
471410011.00,2535
471410012.01,2098
471410012.02,1419
471410013.00,902
471439750.00,2271
471439751.00,2011
471439752.00,2228
471439753.00,2093
471439754.01,1858
471439754.02,1275
471470801.01,1372
471470801.03,2284
471470801.04,2630
471470802.00,2020
471470803.01,954
471470803.02,864
471470804.01,1191
471470804.02,1669
471470805.00,1739
471470806.03,1706
471470806.04,1457
471470806.05,956
471470806.06,1935
471470807.01,1229
471470807.02,1531
471490401.01,799
471490401.02,823
471490401.04,1214
471490401.05,943
471490401.06,591
471490401.07,765
471490402.00,966
471490403.03,646
471490403.04,752
471490403.05,691
471490403.07,1096
471490403.08,1688
471490403.09,1641
471490403.10,1253
471490403.11,1140
471490403.12,383
471490404.04,1156
471490404.05,757
471490405.01,2472
471490405.02,2346
471490406.00,1761
471490407.02,1810
471490407.03,2033
471490407.04,1159
471490408.06,3226
471490408.07,2247
471490408.08,3052
471490408.09,1276
471490408.10,997
471490408.11,1850
471490408.12,1104
471490409.01,1322
471490409.04,1562
471490409.06,1280
471490409.07,2487
471490409.08,1356
471490409.09,1111
471490409.10,1437
471490409.11,2262
471490410.00,2612
471490411.02,1138
471490411.03,1399
471490411.04,1767
471490412.01,1995
471490412.02,1673
471490413.01,2799
471490413.02,2229
471490414.01,1462
471490414.04,637
471490414.05,311
471490414.06,838
471490414.07,806
471490415.00,9
471490416.01,632
471490416.02,841
471490417.00,1387
471490418.00,867
471490419.00,880
471490420.00,1638
471490421.01,880
471490421.02,764
471490422.00,1428
471490423.01,1134
471490423.02,890
471530601.02,1271
471530601.03,1577
471530601.04,1482
471530602.00,2033
471599750.00,1432
471599751.00,1015
471599752.00,1974
471599753.00,870
471599754.00,1604
471611102.01,1717
471611102.02,549
471611106.00,1036
471611107.00,1998
471619801.00,1
471619802.00,0
471650201.01,1232
471650201.02,1720
471650202.03,820
471650202.04,1018
471650202.05,645
471650202.06,448
471650202.07,602
471650202.08,862
471650202.09,903
471650203.00,1385
471650204.03,787
471650204.04,819
471650204.05,999
471650204.06,1223
471650204.07,1431
471650205.01,4022
471650205.02,2058
