year,FIPS,county_name,people_inflow,agi_inflow,agi_capita_inflow,people_outflow,agi_outflow,agi_capita_outflow,people_net,agi_net
2021,47169,"Trousdale County, TN",1004,21216000,21131.474103585657,559,12156000,21745.97495527728,445,9060000
2021,47015,"Cannon County, TN",1000,25744000,25744.0,721,15389000,21343.966712898753,279,10355000
2021,47189,"Wilson County, TN",13414,540801000,40316.16221857761,8563,288884000,33736.30736891276,4851,251917000
2021,47187,"Williamson County, TN",21603,1911202000,88469.28667314725,16113,895089000,55550.73543101843,5490,1016113000
2022,47015,"Cannon County, TN",937,26057000,27808.964781216648,762,16952000,22246.719160104985,175,9105000
2022,47021,"Cheatham County, TN",2986,121657000,40742.46483590087,2479,81893000,33034.69140782574,507,39764000
2022,47037,"Davidson County, TN",43240,2940052000,67993.80203515264,49500,2681908000,54179.9595959596,-6260,258144000
2022,47043,"Dickson County, TN",3322,110322000,33209.512341962676,2591,77175000,29785.79698957931,731,33147000
2022,47081,"Hickman County, TN",1623,46189000,28459.02649414664,1211,29961000,24740.71015689513,412,16228000
2022,47111,"Macon County, TN",1593,35784000,22463.27683615819,999,19903000,19922.922922922924,594,15881000
2022,47119,"Maury County, TN",9160,393988000,43011.7903930131,6476,225108000,34760.34589252625,2684,168880000
2022,47147,"Robertson County, TN",5278,185057000,35061.955286093216,4042,172833000,42759.27758535378,1236,12224000
2022,47149,"Rutherford County, TN",23827,804820000,33777.647206950096,19742,651226000,32986.83010839834,4085,153594000
2022,47159,"Smith County, TN",1150,34229000,29764.347826086956,996,32966000,33098.39357429719,154,1263000
2022,47165,"Sumner County, TN",14287,665833000,46604.11562959334,11171,422170000,37791.603258437026,3116,243663000
2022,47169,"Trousdale County, TN",920,24839000,26998.91304347826,780,17235000,22096.153846153848,140,7604000
2022,47189,"Wilson County, TN",13626,697706000,51204.02172317628,8873,349104000,39344.528344415645,4753,348602000
2022,47187,"Williamson County, TN",20211,1988166000,98370.49131660975,16601,1235669000,74433.40762604662,3610,752497000
