origin_FIPS,origin_county,destination_FIPS,destination_county,people_inflow,agi_inflow,agi_capita_inflow,year
47031,"Coffee County, TN",47015,"Cannon County, TN",71,1485000,20915.49295774648,2022
47177,"Warren County, TN",47015,"Cannon County, TN",59,591000,10016.949152542373,2022
47041,"DeKalb County, TN",47015,"Cannon County, TN",35,890000,25428.571428571428,2022
47037,"Davidson County, TN",47021,"Cheatham County, TN",960,43481000,45292.708333333336,2022
47125,"Montgomery County, TN",47021,"Cheatham County, TN",353,10110000,28640.226628895183,2022
47147,"Robertson County, TN",47021,"Cheatham County, TN",186,5413000,29102.15053763441,2022
47043,"Dickson County, TN",47021,"Cheatham County, TN",156,3824000,24512.82051282051,2022
47187,"Williamson County, TN",47021,"Cheatham County, TN",113,6255000,55353.982300884956,2022
47165,"Sumner County, TN",47021,"Cheatham County, TN",97,3185000,32835.051546391755,2022
47149,"Rutherford County, TN",47021,"Cheatham County, TN",71,1935000,27253.521126760563,2022
47189,"Wilson County, TN",47021,"Cheatham County, TN",40,1244000,31100.0,2022
47149,"Rutherford County, TN",47037,"Davidson County, TN",3421,99705000,29144.986845951476,2022
47187,"Williamson County, TN",47037,"Davidson County, TN",3000,241818000,80606.0,2022
47165,"Sumner County, TN",47037,"Davidson County, TN",1972,97316000,49348.88438133874,2022
47189,"Wilson County, TN",47037,"Davidson County, TN",1498,62499000,41721.628838451266,2022
06037,"Los Angeles County, CA",47037,"Davidson County, TN",1037,164535000,158664.41658630664,2022
47125,"Montgomery County, TN",47037,"Davidson County, TN",1080,45406000,42042.59259259259,2022
17031,"Cook County, IL",47037,"Davidson County, TN",790,77024000,97498.73417721518,2022
47157,"Shelby County, TN",47037,"Davidson County, TN",837,36618000,43749.10394265233,2022
47147,"Robertson County, TN",47037,"Davidson County, TN",558,15954000,28591.397849462366,2022
47093,"Knox County, TN",47037,"Davidson County, TN",452,20176000,44637.16814159292,2022
47021,"Cheatham County, TN",47037,"Davidson County, TN",485,15721000,32414.432989690722,2022
